Companies,Symbols,Ratings,Risk
Alabama Power Co.,-,42.6,Severe ESG Risk
ALAFCO Aviation Lease & Finance Co.,KUW:ALAFCO,30.8,High ESG Risk
AlAmar Foods Co.,SAU:6014,34.9,High ESG Risk
"Alamo Group, Inc.",NYS:ALG,22.3,Medium ESG Risk
"Alamos Gold, Inc.",TSE:AGI,34.7,High ESG Risk
Alarko Holding AS,IST:ALARK.E,31.2,High ESG Risk
"Alarm.com Holdings, Inc.",NAS:ALRM,24.4,Medium ESG Risk
"Alaska Air Group, Inc.",NYS:ALK,26.1,Medium ESG Risk
Albany International Corp.,NYS:AIN,18.8,Low ESG Risk
Albaraka Türk Katilim Bankasi AS,IST:ALBRK.E,27.5,Medium ESG Risk
Albemarle Corp.,NYS:ALB,23.7,Medium ESG Risk
Alberta Capital Finance Authority,-,19.4,Low ESG Risk
Alberta PowerLine LP,-,45.7,Severe ESG Risk
"Albertsons Cos., Inc.",NYS:ACI,32.7,High ESG Risk
Alchip Technologies Ltd.,TAI:3661,32.6,High ESG Risk
Alcoa Corp.,NYS:AA,26.7,Medium ESG Risk
Alcon AG,SWX:ALC,24.0,Medium ESG Risk
ALCONIX Corp.,TKS:3036,47.9,Severe ESG Risk
ALD SA,PAR:ALD,10.9,Low ESG Risk
Aldar Investment Properties LLC,-,9.5,Negligible ESG Risk
Aldar Properties PJSC,ADS:ALDAR,15.9,Low ESG Risk
"Aldeyra Therapeutics, Inc.",NAS:ALDX,29.3,Medium ESG Risk
Aldrees Petroleum & Transport Services Co.,SAU:4200,46.5,Severe ESG Risk
Aleatica SAB de CV,MEX:ALEATIC,11.9,Low ESG Risk
"Alector, Inc.",NAS:ALEC,27.3,Medium ESG Risk
"Alectra, Inc. (Canada)",-,36.0,High ESG Risk
Alembic Pharmaceuticals Ltd.,BOM:533573,34.1,High ESG Risk
Alerion Cleanpower SpA,MIL:ARN,24.0,Medium ESG Risk
Alerus Financial Corp.,NAS:ALRS,29.8,Medium ESG Risk
"Alexander & Baldwin, Inc.",NYS:ALEX,21.2,Medium ESG Risk
"Alexander Marine Co., Ltd.",TAI:8478,13.7,Low ESG Risk
"Alexander's, Inc.",NYS:ALX,20.2,Medium ESG Risk
Alexandria Mineral Oils Co.,CAI:AMOC,33.0,High ESG Risk
"Alexandria Real Estate Equities, Inc.",NYS:ARE,13.2,Low ESG Risk
Alfa Desarrollo SpA,-,31.3,High ESG Risk
Alfa Financial Software Holdings Plc,LON:ALFA,14.5,Low ESG Risk
Alfa Laval AB,OME:ALFA,23.8,Medium ESG Risk
Alfa SAB de CV,MEX:ALFAA,49.4,Severe ESG Risk
Alfen NV,AMS:ALFEN,20.3,Medium ESG Risk
Alfresa Holdings Corp.,TKS:2784,18.1,Low ESG Risk
Algonquin Power & Utilities Corp.,TSE:AQN,21.3,Medium ESG Risk
Algonquin Power Corp.,-,28.1,Medium ESG Risk
ALi Corp.,TAI:3041,38.0,High ESG Risk
Aliaxis SA,BRU:1153318,30.7,High ESG Risk
Alibaba Group Holding Ltd.,HKG:9988,24.7,Medium ESG Risk
Alibaba Health Information Technology Ltd.,HKG:241,21.7,Medium ESG Risk
Alibaba Pictures Group Ltd.,HKG:1060,18.9,Low ESG Risk
Alicorp SAA,LIM:ALICORC1,33.5,High ESG Risk
"Alight, Inc.",NYS:ALIT,17.5,Low ESG Risk
"Align Technology, Inc.",NAS:ALGN,18.9,Low ESG Risk
Aligned Data Centers LLC,-,23.2,Medium ESG Risk
"Alignment Healthcare, Inc.",NAS:ALHC,23.2,Medium ESG Risk
Alimak Group AB,OME:ALIG,23.2,Medium ESG Risk
"Alimentation Couche-Tard, Inc.",TSE:ATD,23.0,Medium ESG Risk
Alimtiaz Investment Group KSCC,KUW:ALIMTIAZ,40.8,Severe ESG Risk
Alinma Bank,SAU:1150,27.7,Medium ESG Risk
Alior Bank SA,WAR:ALR,24.3,Medium ESG Risk
ALK-Abello A/S,CSE:ALK.B,29.8,Medium ESG Risk
"Alkami Technology, Inc.",NAS:ALKT,26.1,Medium ESG Risk
Alkane Resources Ltd.,ASX:ALK,40.7,Severe ESG Risk
Alkem Laboratories Ltd.,BOM:539523,35.9,High ESG Risk
Alkemy SpA,MIL:ALK,16.9,Low ESG Risk
Alkermes Plc,NAS:ALKS,24.3,Medium ESG Risk
Alkhorayef Water & Power Technologies,SAU:2081,46.4,Severe ESG Risk
Alkyl Amines Chemicals Ltd.,BOM:506767,29.4,Medium ESG Risk
"Allakos, Inc.",NAS:ALLK,32.8,High ESG Risk
"Allbirds, Inc.",NAS:BIRD,18.3,Low ESG Risk
Allcargo Logistics Ltd.,BOM:532749,24.1,Medium ESG Risk
Alleghany Corp.,-,27.3,Medium ESG Risk
Allegiant Travel Co.,NAS:ALGT,33.6,High ESG Risk
Allegion Plc,NYS:ALLE,21.8,Medium ESG Risk
"Allegro MicroSystems, Inc.",NAS:ALGM,22.0,Medium ESG Risk
Allegro.eu SA,WAR:ALE,21.3,Medium ESG Risk
Alleima AB,OME:ALLEI,33.7,High ESG Risk
"ALLETE, Inc.",NYS:ALE,33.7,High ESG Risk
Allfunds Group Plc,AMS:ALLFG,19.3,Low ESG Risk
Alliance Bank Malaysia Bhd.,KLS:2488,25.0,Medium ESG Risk
"Alliance Global Group, Inc.",PHS:AGI,50.5,Severe ESG Risk
Alliance International Education Leasing Holdings Ltd.,HKG:1563,34.3,High ESG Risk
Alliance Pharma Plc,LON:APH,13.9,Low ESG Risk
Alliance Resource Partners LP,NAS:ARLP,54.6,Severe ESG Risk
Alliander NV,-,12.9,Low ESG Risk
Alliant Energy Corp.,NAS:LNT,21.4,Medium ESG Risk
Allianz Malaysia Bhd.,KLS:1163,24.4,Medium ESG Risk
Allianz SE,ETR:ALV,13.3,Low ESG Risk
Allied Properties Real Estate Investment Trust,TSE:AP.UT,13.9,Low ESG Risk
Allied Supreme Corp.,TAI:4770,29.7,Medium ESG Risk
Allied World Assurance Company Holdings Ltd.,-,29.0,Medium ESG Risk
"Allient, Inc.",NAS:ALNT,23.4,Medium ESG Risk
Alligator Bioscience AB,OME:ATORX,28.5,Medium ESG Risk
Alligo AB,OME:ALLIGO.B,19.1,Low ESG Risk
"Allison Transmission Holdings, Inc.",NYS:ALSN,30.0,Medium ESG Risk
Allkem Ltd.,-,38.1,High ESG Risk
"Allogene Therapeutics, Inc.",NAS:ALLO,25.2,Medium ESG Risk
Allos SA,BSP:ALOS3,18.5,Low ESG Risk
"AlloVir, Inc.",NAS:ALVR,31.3,High ESG Risk
Allreal Holding AG,SWX:ALLN,22.2,Medium ESG Risk
"Allwinner Technology Co., Ltd.",SHE:300458,41.5,Severe ESG Risk
"Ally Financial, Inc.",NYS:ALLY,23.0,Medium ESG Risk
Alm. Brand A/S,CSE:ALMB,28.5,Medium ESG Risk
Alma Media Oyj,HEL:ALMA,11.8,Low ESG Risk
Almacenes Éxito SA,BOG:EXITO,20.5,Medium ESG Risk
Almarai Co. Ltd.,SAU:2280,32.3,High ESG Risk
Almeera Consumer Goods Co. QSC,DSMD:MERS,23.2,Medium ESG Risk
Almirall SA,MCE:ALM,17.1,Low ESG Risk
Almunajem Foods Co.,SAU:4162,21.4,Medium ESG Risk
"Alnylam Pharmaceuticals, Inc.",NAS:ALNY,28.4,Medium ESG Risk
Alok Industries Ltd.,BOM:521070,17.4,Low ESG Risk
Alony Hetz Properties & Investments Ltd.,TAE:ALHE,21.6,Medium ESG Risk
Alpargatas SA,BSP:ALPA4,17.7,Low ESG Risk
Alpek SAB de CV,MEX:ALPEKA,25.7,Medium ESG Risk
"Alpen Co., Ltd.",TKS:3028,22.7,Medium ESG Risk
Alpha & Omega Semiconductor Ltd.,NAS:AOSL,29.3,Medium ESG Risk
Alpha Dhabi Holding PJSC,ADS:ALPHADHABI,21.9,Medium ESG Risk
Alpha Group (China),SHE:002292,17.5,Low ESG Risk
Alpha Group International Plc,LON:ALPH,33.6,High ESG Risk
Alpha HPA Ltd.,ASX:A4N,45.2,Severe ESG Risk
"Alpha Metallurgical Resources, Inc.",NYS:AMR,51.0,Severe ESG Risk
"Alpha Networks, Inc.",TAI:3380,14.9,Low ESG Risk
Alpha Services & Holdings SA,ATH:ALPHA,19.1,Low ESG Risk
Alpha Star Holding VII Ltd.,-,36.0,High ESG Risk
"Alpha Systems, Inc.",TKS:4719,23.5,Medium ESG Risk
"Alphabet, Inc.",NAS:GOOGL,24.1,Medium ESG Risk
Alphamab Oncology,HKG:9966,32.6,High ESG Risk
"Alphatec Holdings, Inc.",NAS:ATEC,32.7,High ESG Risk
Alphawave IP Group Plc,LON:AWE,27.2,Medium ESG Risk
"Alpine Immune Sciences, Inc.",NAS:ALPN,29.7,Medium ESG Risk
"Alpine Income Property Trust, Inc.",NYS:PINE,23.0,Medium ESG Risk
"Alps Alpine Co., Ltd.",TKS:6770,22.0,Medium ESG Risk
ALROSA PJSC,MIC:ALRS,47.1,Severe ESG Risk
ALS Ltd.,ASX:ALQ,20.5,Medium ESG Risk
Alsea SAB de CV,MEX:ALSEA,28.2,Medium ESG Risk
ALSO Holding AG,SWX:ALSN,12.2,Low ESG Risk
Alstom SA,PAR:ALO,21.5,Medium ESG Risk
alstria office REIT-AG,ETR:AOX,12.3,Low ESG Risk
"Alta Equipment Group, Inc.",NYS:ALTG,31.7,High ESG Risk
AltaGas Ltd.,TSE:ALA,32.3,High ESG Risk
"Altair Engineering, Inc.",NAS:ALTR,24.9,Medium ESG Risk
AltaLink LP,-,25.9,Medium ESG Risk
Altarea SCA,PAR:ALTA,13.7,Low ESG Risk
Altareit SA,PAR:AREIT,14.6,Low ESG Risk
Altech Corp.,TKS:4641,11.5,Low ESG Risk
Altek Corp.,TAI:3059,21.0,Medium ESG Risk
Alten SA,PAR:ATE,16.7,Low ESG Risk
ALTEO Energy Services Plc,BUD:ALTEO,26.1,Medium ESG Risk
"Alteogen, Inc.",KRX:196170,29.4,Medium ESG Risk
"Alteryx, Inc.",NYS:AYX,22.1,Medium ESG Risk
Altice France SA,-,17.8,Low ESG Risk
Altice International SARL,-,30.4,High ESG Risk
"Altice USA, Inc.",NYS:ATUS,27.2,Medium ESG Risk
"Altimmune, Inc.",NAS:ALT,30.0,Medium ESG Risk
Altium Ltd.,ASX:ALU,17.0,Low ESG Risk
Altius Minerals Corp.,TSE:ALS,33.1,High ESG Risk
Altri SGPS SA,LIS:ALTR,14.7,Low ESG Risk
"Altria Group, Inc.",NYS:MO,31.3,High ESG Risk
Altshuler Shaham Finance Ltd.,TAE:ALTF,37.1,High ESG Risk
Altus Group Ltd.,TSE:AIF,8.8,Negligible ESG Risk
"Altus Power, Inc.",NYS:AMPS,24.8,Medium ESG Risk
Alujain Corp.,SAU:2170,36.4,High ESG Risk
Alumina Ltd.,ASX:AWC,30.0,Medium ESG Risk
Aluminum Corp. of China Ltd.,HKG:2600,50.0,Severe ESG Risk
Alupar Investimento SA,BSP:ALUP11,40.8,Severe ESG Risk
"ALX Oncology Holdings, Inc.",NAS:ALXO,30.9,High ESG Risk
"AMADA Co., Ltd.",TKS:6113,30.3,High ESG Risk
Amadeus FiRe AG,ETR:AAD,11.6,Low ESG Risk
Amadeus IT Group SA,MCE:AMS,14.7,Low ESG Risk
AMAG Austria Metall AG,WBO:AMAG,16.5,Low ESG Risk
Amalgamated Financial Corp.,NAS:AMAL,19.5,Low ESG Risk
Amanat Holdings PJSC,DFM:AMANAT,35.9,High ESG Risk
Amano Corp.,TKS:6436,14.7,Low ESG Risk
Amara Raja Energy & Mobility Ltd.,BOM:500008,18.2,Low ESG Risk
"Amata Corp. Public Co., Ltd.",BKK:AMATA,12.5,Low ESG Risk
Amazing Microelectronic Corp.,ROCO:6411,24.9,Medium ESG Risk
"Amazon.com, Inc.",NAS:AMZN,30.0,High ESG Risk
"Ambac Financial Group, Inc.",NYS:AMBC,31.5,High ESG Risk
"Ambarella, Inc.",NAS:AMBA,33.1,High ESG Risk
Ambea AB,OME:AMBEA,26.4,Medium ESG Risk
Amber Enterprises India Ltd.,BOM:540902,24.4,Medium ESG Risk
Ambev SA,BSP:ABEV3,21.9,Medium ESG Risk
Ambika Cotton Mills Ltd.,BOM:531978,19.4,Low ESG Risk
Ambipar Participações e Empreendimentos SA,BSP:AMBP3,18.1,Low ESG Risk
Ambu A/S,CSE:AMBU.B,22.3,Medium ESG Risk
Ambuja Cements Ltd.,BOM:500425,25.1,Medium ESG Risk
"AMC Entertainment Holdings, Inc.",NYS:AMC,18.6,Low ESG Risk
"AMC Networks, Inc.",NAS:AMCX,25.1,Medium ESG Risk
AMCO Asset Management Co. SpA,-,29.7,Medium ESG Risk
Amcor Plc,NYS:AMCR,17.6,Low ESG Risk
Amdocs Ltd.,NAS:DOX,14.2,Low ESG Risk
"Amedisys, Inc.",NAS:AMED,23.9,Medium ESG Risk
Amer Sports Oy,-,10.4,Low ESG Risk
"Amerant Bancorp, Inc.",NYS:AMTB,31.9,High ESG Risk
Ameren Corp.,NYS:AEE,27.2,Medium ESG Risk
Ameren Illinois Co.,-,35.1,High ESG Risk
"Ameresco, Inc.",NYS:AMRC,30.7,High ESG Risk
America Movil SAB de CV,MEX:AMXB,21.6,Medium ESG Risk
"America's Car-Mart, Inc.",NAS:CRMT,12.7,Low ESG Risk
"American Airlines Group, Inc.",NAS:AAL,26.4,Medium ESG Risk
American Assets Trust LP,-,12.7,Low ESG Risk
"American Assets Trust, Inc.",NYS:AAT,14.2,Low ESG Risk
"American Axle & Manufacturing Holdings, Inc.",NYS:AXL,16.7,Low ESG Risk
"American Eagle Outfitters, Inc.",NYS:AEO,15.1,Low ESG Risk
"American Electric Power Co., Inc.",NAS:AEP,23.9,Medium ESG Risk
American Equity Investment Life Holding Co.,NYS:AEL,25.9,Medium ESG Risk
American Express Co.,NYS:AXP,19.3,Low ESG Risk
American Family Insurance Mutual Holding Co.,-,24.0,Medium ESG Risk
American Family Mutual Insurance Co. SI,-,21.4,Medium ESG Risk
"American Financial Group, Inc.",NYS:AFG,27.9,Medium ESG Risk
American Homes 4 Rent,NYS:AMH,12.1,Low ESG Risk
"American International Group, Inc.",NYS:AIG,25.9,Medium ESG Risk
"American National Bankshares, Inc. (Virginia)",NAS:AMNB,29.6,Medium ESG Risk
"American Realty Investors, Inc.",NYS:ARL,26.1,Medium ESG Risk
"American Software, Inc.",NAS:AMSWA,23.9,Medium ESG Risk
American States Water Co.,NYS:AWR,30.6,High ESG Risk
"American Tire Distributors, Inc.",-,11.4,Low ESG Risk
American Tower Corp.,NYS:AMT,11.1,Low ESG Risk
"American Transmission Systems, Inc.",-,34.4,High ESG Risk
American University,-,14.2,Low ESG Risk
American Vanguard Corp.,NYS:AVD,39.8,High ESG Risk
"American Water Works Co., Inc.",NYS:AWK,19.4,Low ESG Risk
American Well Corp.,NYS:AMWL,23.9,Medium ESG Risk
American Woodmark Corp.,NAS:AMWD,34.0,High ESG Risk
Americanas SA,BSP:AMER3,29.1,Medium ESG Risk
"Americold Realty Trust, Inc.",NYS:COLD,15.6,Low ESG Risk
"Ameriprise Financial, Inc.",NYS:AMP,20.3,Medium ESG Risk
Ameris Bancorp,NAS:ABCB,31.7,High ESG Risk
"AMERISAFE, Inc.",NAS:AMSF,27.1,Medium ESG Risk
Ames National Corp.,NAS:ATLO,31.2,High ESG Risk
"AMETEK, Inc.",NYS:AME,23.0,Medium ESG Risk
AMG Critical Materials NV,AMS:AMG,39.7,High ESG Risk
"Amgen, Inc.",NAS:AMGN,23.8,Medium ESG Risk
"Amicogen, Inc.",KRX:092040,26.4,Medium ESG Risk
"Amicus Therapeutics, Inc.",NAS:FOLD,27.5,Medium ESG Risk
"Amkor Technology, Inc.",NAS:AMKR,17.8,Low ESG Risk
Amlak International for Real Estate Financing,SAU:1182,25.3,Medium ESG Risk
"Amlogic (Shanghai) Co., Ltd.",SHG:688099,23.5,Medium ESG Risk
AMMB Holdings Bhd.,KLS:1015,25.0,Medium ESG Risk
"AMMO, Inc.",NAS:POWW,18.9,Low ESG Risk
"AMN Healthcare Services, Inc.",NYS:AMN,17.2,Low ESG Risk
"Amneal Intermediate, Inc.",-,36.0,High ESG Risk
Amorepacific Corp.,KRX:090430,30.2,High ESG Risk
"AmorePacific Group, Inc.",KRX:002790,22.2,Medium ESG Risk
Amot Investments Ltd.,TAE:AMOT,17.7,Low ESG Risk
"Amoy Diagnostics Co., Ltd.",SHE:300685,31.8,High ESG Risk
AMP Ltd.,ASX:AMP,18.7,Low ESG Risk
"Amphastar Pharmaceuticals, Inc.",NAS:AMPH,33.8,High ESG Risk
Amphenol Corp.,NYS:APH,19.6,Low ESG Risk
Amplifon SpA,MIL:AMP,15.7,Low ESG Risk
Amplify Energy Corp.,NYS:AMPY,51.1,Severe ESG Risk
"Amplitude, Inc.",NAS:AMPL,20.9,Medium ESG Risk
Ampol Ltd.,ASX:ALD,34.3,High ESG Risk
Amprion GmbH,-,9.3,Negligible ESG Risk
AmRest Holdings SE,WAR:EAT,29.6,Medium ESG Risk
ams-OSRAM AG,SWX:AMS,21.0,Medium ESG Risk
"AmTRAN Technology Co., Ltd.",TAI:2489,18.1,Low ESG Risk
Amundi SA,PAR:AMUN,17.7,Low ESG Risk
Amur Equipment Finance Inc,-,27.5,Medium ESG Risk
"Amuse, Inc.",TKS:4301,17.8,Low ESG Risk
"Amvis Holdings, Inc.",TKS:7071,27.7,Medium ESG Risk
"Amylyx Pharmaceuticals, Inc.",NAS:AMLX,33.8,High ESG Risk
"Amyris, Inc.",OTC:AMRSQ,33.3,High ESG Risk
"An Hui Wenergy Co., Ltd.",SHE:000543,53.6,Severe ESG Risk
ANA HOLDINGS INC.,TKS:9202,31.9,High ESG Risk
Anadolu Anonim Türk Sigorta Sirketi AS,IST:ANSGR.E,28.7,Medium ESG Risk
Anadolu Efes Biracilik ve Malt Sanayii A.S.,IST:AEFES.E,21.9,Medium ESG Risk
"Analog Devices, Inc.",NAS:ADI,19.9,Low ESG Risk
"Ananti, Inc.",KRX:025980,34.6,High ESG Risk
"AnaPass, Inc.",KRX:123860,39.3,High ESG Risk
"AnaptysBio, Inc.",NAS:ANAB,25.4,Medium ESG Risk
Anavex Life Sciences Corp.,NAS:AVXL,29.0,Medium ESG Risk
Anchor Hanover Group,-,22.9,Medium ESG Risk
Andes Technology Corp.,TAI:6533,23.5,Medium ESG Risk
"Andlauer Healthcare Group, Inc.",TSE:AND,21.1,Medium ESG Risk
"Andon Health Co., Ltd.",SHE:002432,36.5,High ESG Risk
Andre Maggi Participaçoes SA,-,37.1,High ESG Risk
Andritz AG,WBO:ANDR,24.8,Medium ESG Risk
Andromeda Metals Ltd.,ASX:ADN,44.9,Severe ESG Risk
ANEST IWATA Corp.,TKS:6381,27.5,Medium ESG Risk
"Angang Steel Co., Ltd.",HKG:347,42.6,Severe ESG Risk
"Angel Oak Mortgage REIT, Inc.",NYS:AOMR,24.9,Medium ESG Risk
Angel One Ltd.,BOM:543235,32.9,High ESG Risk
"Angel Yeast Co., Ltd.",SHG:600298,43.7,Severe ESG Risk
"Angelalign Technology, Inc.",HKG:6699,39.1,High ESG Risk
"Angi, Inc.",NAS:ANGI,28.4,Medium ESG Risk
"AngioDynamics, Inc.",NAS:ANGO,29.0,Medium ESG Risk
Anglian Water Group Ltd.,-,21.5,Medium ESG Risk
Anglo American Platinum Ltd.,JSE:AMS,15.1,Low ESG Risk
Anglo American Plc,LON:AAL,23.1,Medium ESG Risk
Anglo-Eastern Plantations Plc,LON:AEP,37.8,High ESG Risk
AngloGold Ashanti Ltd.,GHA:AGA,23.2,Medium ESG Risk
Anheuser-Busch Cos. LLC,-,19.1,Low ESG Risk
Anheuser-Busch InBev SA/NV,BRU:ABI,23.6,Medium ESG Risk
"Anhui Anke Biotechnology (Group) Co., Ltd.",SHE:300009,26.2,Medium ESG Risk
"Anhui Conch Cement Co., Ltd.",HKG:914,32.5,High ESG Risk
Anhui Construction Engineering Group Corp. Ltd.,SHG:600502,48.6,Severe ESG Risk
"Anhui Expressway Co., Ltd.",HKG:995,13.1,Low ESG Risk
Anhui Genuine New Materials Co. Ltd.,SHG:603429,25.5,Medium ESG Risk
"Anhui Golden Seed Winery Co., Ltd.",SHG:600199,31.5,High ESG Risk
"Anhui Guangxin Agrochemical Co., Ltd.",SHG:603599,32.5,High ESG Risk
"Anhui Gujing Distillery Co., Ltd.",SHE:000596,32.0,High ESG Risk
"Anhui Heli Co., Ltd.",SHG:600761,33.1,High ESG Risk
"Anhui Honglu Steel Construction (Group) Co., Ltd.",SHE:002541,34.8,High ESG Risk
"Anhui Huilong Agricultural Means of Production Co., Ltd.",SHE:002556,46.5,Severe ESG Risk
"Anhui Jiangnan Chemical Industry Co., Ltd.",SHE:002226,34.7,High ESG Risk
"Anhui Jinhe Industrial Co., Ltd.",SHE:002597,28.0,Medium ESG Risk
"Anhui Kouzi Distillery Co., Ltd.",SHG:603589,36.7,High ESG Risk
"Anhui Tatfook Technology Co., Ltd.",SHE:300134,23.3,Medium ESG Risk
"Anhui Truchum Advanced Materials & Technology Co., Ltd.",SHE:002171,50.2,Severe ESG Risk
"Anhui Xinhua Media Co., Ltd.",SHG:601801,26.5,Medium ESG Risk
"Anhui Yingjia Distillery Co., Ltd.",SHG:603198,35.0,High ESG Risk
"Anhui Zhongding Sealing Parts Co., Ltd.",SHE:000887,25.4,Medium ESG Risk
"ANI Pharmaceuticals, Inc.",NAS:ANIP,36.3,High ESG Risk
"Anicom Holdings, Inc.",TKS:8715,33.1,High ESG Risk
"Anika Therapeutics, Inc.",NAS:ANIK,11.7,Low ESG Risk
Anima Holding SA,BSP:ANIM3,19.1,Low ESG Risk
Anima Holding SpA,MIL:ANIM,11.5,Low ESG Risk
"Anji Microelectronics Technology (Shanghai) Co., Ltd.",SHG:688019,21.7,Medium ESG Risk
"Anjoy Foods Group Co., Ltd.",SHG:603345,44.5,Severe ESG Risk
"Anker Innovations Technology Co., Ltd.",SHE:300866,25.6,Medium ESG Risk
"Annaly Capital Management, Inc.",NYS:NLY,11.2,Low ESG Risk
Annehem Fastigheter AB,OME:ANNE.B,19.2,Low ESG Risk
"Annexon, Inc.",NAS:ANNX,33.5,High ESG Risk
Annington Homes Limited,-,15.7,Low ESG Risk
Anora Group Oyj,HEL:ANORA,22.7,Medium ESG Risk
Anoto Group AB,OME:ANOT,21.5,Medium ESG Risk
Anpec Electronics Corp.,ROCO:6138,35.0,High ESG Risk
Anritsu Corp.,TKS:6754,7.3,Negligible ESG Risk
Ansell Ltd.,ASX:ANN,15.4,Low ESG Risk
"ANSYS, Inc.",NAS:ANSS,15.9,Low ESG Risk
ANTA Sports Products Ltd.,HKG:2020,16.7,Low ESG Risk
AntarChile SA,SGO:ANTARCHILE,46.7,Severe ESG Risk
Antares Holdings LP,-,35.3,High ESG Risk
Antares Vision SpA,MIL:AV,23.1,Medium ESG Risk
"Anterix, Inc.",NAS:ATEX,32.5,High ESG Risk
Antero Midstream Corp.,NYS:AM,27.6,Medium ESG Risk
Antero Resources Corp.,NYS:AR,39.8,High ESG Risk
Antin Infrastructure Partners SA,PAR:ANTIN,14.4,Low ESG Risk
Antofagasta Plc,LON:ANTO,26.1,Medium ESG Risk
"Antong Holdings Co., Ltd.",SHG:600179,53.8,Severe ESG Risk
Anupam Rasayan India Ltd.,BOM:543275,26.7,Medium ESG Risk
"ANYCOLOR, Inc.",TKS:5032,21.2,Medium ESG Risk
"Anywhere Real Estate, Inc.",NYS:HOUS,8.0,Negligible ESG Risk
ANZ Group Holdings Ltd.,ASX:ANZ,22.9,Medium ESG Risk
AO World Plc,LON:AO,23.3,Medium ESG Risk
"AOKI Holdings, Inc.",TKS:8214,21.9,Medium ESG Risk
Aon Plc,NYS:AON,15.4,Low ESG Risk
"Aotecar New Energy Technology Co., Ltd.",SHE:002239,24.1,Medium ESG Risk
"AOYAMA TRADING Co., Ltd.",TKS:8219,18.7,Low ESG Risk
Aozora Bank Ltd.,TKS:8304,23.7,Medium ESG Risk
AP (Thailand) Public Co. Ltd.,BKK:AP,18.5,Low ESG Risk
AP Impact Euro (Lux) SARL,-,36.8,High ESG Risk
AP Memory Technology Corp.,TAI:6531,18.8,Low ESG Risk
APA Corp.,NAS:APA,46.6,Severe ESG Risk
APA Group,ASX:APA,39.5,High ESG Risk
Apar Industries Ltd.,BOM:532259,21.6,Medium ESG Risk
Apartment Income REIT Corp.,NYS:AIRC,15.6,Low ESG Risk
Apartment Investment & Management Co.,NYS:AIV,19.7,Low ESG Risk
"Apellis Pharmaceuticals, Inc.",NAS:APLS,24.4,Medium ESG Risk
"Apeloa Pharmaceutical Co., Ltd.",SHE:000739,40.2,Severe ESG Risk
Aperam SA,AMS:APAM,22.6,Medium ESG Risk
"Apex International Co., Ltd.",TAI:4927,18.7,Low ESG Risk
"Apex International Financial Engineering Res & Tech Co., Ltd.",ROCO:5210,28.6,Medium ESG Risk
Apex Investment PSC,ADS:APEX,39.0,High ESG Risk
APG SGA SA,SWX:APGN,17.6,Low ESG Risk
APi Group Corp.,NYS:APG,24.0,Medium ESG Risk
APL Apollo Tubes Ltd.,BOM:533758,27.7,Medium ESG Risk
APM Human Services International Ltd.,ASX:APM,16.1,Low ESG Risk
"Apogee Enterprises, Inc.",NAS:APOG,31.9,High ESG Risk
"Apollo Commercial Real Estate Finance, Inc.",NYS:ARI,16.8,Low ESG Risk
Apollo Future Mobility Group Ltd.,HKG:860,19.0,Low ESG Risk
"Apollo Global Management, Inc.",NYS:APO,24.3,Medium ESG Risk
Apollo Hospitals Enterprise Ltd.,BOM:508869,25.3,Medium ESG Risk
"Apollo Medical Holdings, Inc.",NAS:ASTH,21.0,Medium ESG Risk
Apollo Tyres Ltd.,BOM:500877,13.3,Low ESG Risk
Appalachian Power Co.,-,33.0,High ESG Risk
Appen Ltd.,ASX:APX,16.1,Low ESG Risk
APPF Commercial Finance Pty Ltd.,-,24.7,Medium ESG Risk
"AppFolio, Inc.",NAS:APPF,21.6,Medium ESG Risk
Appian Corp.,NAS:APPN,25.3,Medium ESG Risk
"Appier Group, Inc.",TKS:4180,28.5,Medium ESG Risk
"Apple Hospitality REIT, Inc.",NYS:APLE,19.3,Low ESG Risk
"Apple, Inc.",NAS:AAPL,17.2,Low ESG Risk
Applied Digital Corp.,NAS:APLD,19.2,Low ESG Risk
"Applied Industrial Technologies, Inc.",NYS:AIT,24.1,Medium ESG Risk
"Applied Materials, Inc.",NAS:AMAT,12.8,Low ESG Risk
AppLovin Corp.,NAS:APP,18.9,Low ESG Risk
Applus Services SA,LON:0QTZ,13.3,Low ESG Risk
"Aprogen Biologics, Inc.",KRX:003060,37.9,High ESG Risk
"Aprogen, Inc.",KRX:007460,50.9,Severe ESG Risk
APRR SA,-,8.6,Negligible ESG Risk
"AptarGroup, Inc.",NYS:ATR,12.3,Low ESG Risk
Aptitude Software Group Plc,LON:APTD,22.9,Medium ESG Risk
Aptiv Plc,NYS:APTV,10.8,Low ESG Risk
Aptus Value Housing Finance India Ltd.,BOM:543335,23.8,Medium ESG Risk
AQ Group AB,OME:AQ,20.6,Medium ESG Risk
Aquafil SpA,MIL:ECNL,10.7,Low ESG Risk
Arab National Bank,SAU:1080,30.9,High ESG Risk
Arab Petroleum Investments Corp.,-,14.4,Low ESG Risk
Arabian Cement Co.,SAU:3010,39.2,High ESG Risk
Arabian Centres Co.,SAU:4321,19.8,Low ESG Risk
Arabian Centres Sukuk II Ltd.,-,22.0,Medium ESG Risk
Arabian Contracting Services Co.,SAU:4071,22.9,Medium ESG Risk
Arabian Internet & Communications Services Co.,SAU:7202,24.8,Medium ESG Risk
Arad Investment & Industrial Development Ltd.,TAE:ARAD,19.2,Low ESG Risk
ARADA Developments LLC,-,24.2,Medium ESG Risk
